ComplexName,AmenityID,AmenityName
Riachi at One21,9,In Unit Washer & Dryer
Riachi at One21,10,Walk-In Closets
Legacy Square,1,Dog & Cat Friendly
Legacy Square,2,Fitness Center
Legacy Square,3,Pool
Legacy Square,14,Dishwasher
Legacy Square,15,Refrigerator
Legacy Square,16,Kitchen
Legacy Square,9,In Unit Washer & Dryer
Legacy Square,10,Walk-In Closets
Towns Of Chapel Hill,1,Dog & Cat Friendly
Towns Of Chapel Hill,2,Fitness Center
Towns Of Chapel Hill,3,Pool
Towns Of Chapel Hill,14,Dishwasher
Towns Of Chapel Hill,16,Kitchen
Towns Of Chapel Hill,10,Walk-In Closets
Towns Of Chapel Hill,19,Clubhouse
Towns Of Chapel Hill,20,Balcony
MAA Market Center,1,Dog & Cat Friendly
MAA Market Center,9,In Unit Washer & Dryer
MAA Market Center,20,Balcony
MAA Market Center,11,Stainless Steel Appliances
MAA Market Center,27,Granite Countertops
MAA Market Center,28,Hardwood Floors
MAA Market Center,6,Elevator
The Huntington,1,Dog & Cat Friendly
The Huntington,2,Fitness Center
The Huntington,3,Pool
The Huntington,16,Kitchen
The Huntington,9,In Unit Washer & Dryer
The Huntington,10,Walk-In Closets
The Huntington,19,Clubhouse
The Huntington,20,Balcony
Cortland North Plano,1,Dog & Cat Friendly
Cortland North Plano,2,Fitness Center
Cortland North Plano,3,Pool
Cortland North Plano,19,Clubhouse
Cortland North Plano,23,Maintenance on site
Cortland North Plano,5,Controlled Access
Cortland North Plano,29,Playground
Tides at Plano,1,Dog & Cat Friendly
Tides at Plano,2,Fitness Center
Tides at Plano,3,Pool
Tides at Plano,14,Dishwasher
Tides at Plano,15,Refrigerator
Tides at Plano,9,In Unit Washer & Dryer
Tides at Plano,10,Walk-In Closets
Tides at Plano,19,Clubhouse
The Westside,1,Dog & Cat Friendly
The Westside,2,Fitness Center
The Westside,3,Pool
The Westside,16,Kitchen
The Westside,20,Balcony
The Westside,25,Range
The Westside,30,Heat
The Westside,31,High-Speed Internet
The Westside,32,Oven
MAA Legacy,1,Dog & Cat Friendly
MAA Legacy,9,In Unit Washer & Dryer
MAA Legacy,10,Walk-In Closets
MAA Legacy,20,Balcony
MAA Legacy,31,High-Speed Internet
MAA Legacy,28,Hardwood Floors
MAA Legacy,33,Gated
MAA Legacy,6,Elevator
Preserve at Preston,1,Dog & Cat Friendly
Preserve at Preston,3,Pool
Preserve at Preston,31,High-Speed Internet
Preserve at Preston,11,Stainless Steel Appliances
Preserve at Preston,12,Package Service
Preserve at Preston,27,Granite Countertops
Preserve at Preston,28,Hardwood Floors
Preserve at Preston,7,Washer & Dryer Hookups
Parker Plano,1,Dog & Cat Friendly
Parker Plano,2,Fitness Center
Parker Plano,3,Pool
Parker Plano,14,Dishwasher
Parker Plano,15,Refrigerator
Parker Plano,16,Kitchen
Parker Plano,9,In Unit Washer & Dryer
Parker Plano,10,Walk-In Closets
Hunters Glen,1,Dog & Cat Friendly
Hunters Glen,2,Fitness Center
Hunters Glen,3,Pool
Hunters Glen,14,Dishwasher
Hunters Glen,16,Kitchen
Hunters Glen,9,In Unit Washer & Dryer
Hunters Glen,23,Maintenance on site
Hunters Glen,34,Microwave
Windhaven Park,1,Dog & Cat Friendly
Windhaven Park,2,Fitness Center
Windhaven Park,3,Pool
Windhaven Park,14,Dishwasher
Windhaven Park,15,Refrigerator
Windhaven Park,16,Kitchen
